"","species","filo_samps","hnv_samps","total_samps","filo_positive","hnv_positive","positive","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"537","myopterus daubentonii",0,0,0,NA,NA,NA,"myopterus daubentonii","Myopterus_daubentonii",FALSE,"663933",FALSE,"","1",0,"Africa","Myopterus_daubentonii",NA,NA,NA
"539","myotis abei",0,0,0,NA,NA,NA,"myotis abei","Myotis_abei",FALSE,"3613659",FALSE,"","1",0,"Europe","Myotis_abei",NA,NA,NA
"540","myotis adversus",0,0,0,NA,NA,NA,"myotis adversus","Myotis_adversus",FALSE,"342710",FALSE,"","1",0,"Asia","Myotis_adversus",NA,NA,NA
"541","myotis aelleni",0,0,0,NA,NA,NA,"myotis aelleni","Myotis_aelleni",FALSE,"3613688",FALSE,"","1",0,"LA","Myotis_aelleni",NA,NA,NA
"542","myotis albescens",0,0,0,NA,NA,NA,"myotis albescens","Myotis_albescens",FALSE,"353889",FALSE,"","1",0,"LA","Myotis_albescens",NA,NA,NA
"545","myotis anjouanensis",0,0,0,NA,NA,NA,"myotis anjouanensis","Myotis_anjouanensis",FALSE,"434436",FALSE,"","1",0,"Africa","Myotis_anjouanensis",NA,NA,NA
"546","myotis annamiticus",0,0,0,NA,NA,NA,"myotis annamiticus","Myotis_annamiticus",FALSE,"964597",FALSE,"","1",0,"Asia","Myotis_annamiticus",NA,NA,NA
"547","myotis annectans",0,0,0,NA,NA,NA,"myotis annectans","Myotis_annectans",FALSE,"488513",FALSE,"","1",0,"Asia","Myotis_annectans",NA,NA,NA
"548","myotis atacamensis",0,0,0,NA,NA,NA,"myotis atacamensis","Myotis_atacamensis",FALSE,"175290",FALSE,"","1",0,"LA","Myotis_atacamensis",NA,NA,NA
"549","myotis ater",0,0,0,NA,NA,NA,"myotis ater","Myotis_ater",FALSE,"626682",FALSE,"","1",0,"Africa","Myotis_ater",NA,NA,NA
"550","myotis auriculus",0,0,0,NA,NA,NA,"myotis auriculus","Myotis_auriculus",FALSE,"498123",FALSE,"","1",0,"LA","Myotis_auriculus",NA,NA,NA
"551","myotis australis",0,0,0,NA,NA,NA,"myotis australis","Myotis_australis",FALSE,"3613644",FALSE,"","1",0,"Australia","Myotis_australis",NA,NA,NA
"552","myotis austroriparius",0,0,0,NA,NA,NA,"myotis austroriparius","Myotis_austroriparius",FALSE,"363026",FALSE,"","1",0,"NA","Myotis_austroriparius",NA,NA,NA
